"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ac"
"1","Central_Coast","40","Desert","3","Easement","42","Santa Barbara",84.7324357740986
"1","Central_Coast","40","Desert","3","Easement","43","Santa Clara",5147.55107198763
"1","Central_Coast","40","Desert","3","Easement","44","Santa Cruz",667.851718187974
"1","Central_Coast","40","Desert","3","Easement","48","Solano",157.900339631522
"1","Central_Coast","40","Desert","3","Easement","50","Stanislaus",1216.05501000727
"1","Central_Coast","40","Desert","4","Local_gov","1","Alameda",3379.95684749278
"1","Central_Coast","40","Desert","4","Local_gov","7","Contra Costa",2914.48443784662
"1","Central_Coast","40","Desert","4","Local_gov","10","Fresno",1.77915875641152
"1","Central_Coast","40","Desert","4","Local_gov","27","Monterey",2079.61419140052
"1","Central_Coast","40","Desert","4","Local_gov","28","Napa",1.77915875641152
"1","Central_Coast","40","Desert","4","Local_gov","35","San Benito",1.77915875641152
"1","Central_Coast","40","Desert","4","Local_gov","38","San Francisco",14.678059740395
"1","Central_Coast","40","Desert","4","Local_gov","40","San Luis Obispo",1408.64894538882
"1","Central_Coast","40","Desert","4","Local_gov","41","San Mateo",4706.76449008668
"1","Central_Coast","40","Desert","4","Local_gov","42","Santa Barbara",285.999770093152
"1","Central_Coast","40","Desert","4","Local_gov","43","Santa Clara",5718.88342764028
"1","Central_Coast","40","Desert","4","Local_gov","44","Santa Cruz",103.191207871868
"1","Central_Coast","40","Desert","4","Local_gov","48","Solano",6.44945049199176
"1","Central_Coast","40","Desert","4","Local_gov","50","Stanislaus",192.149145692444
"1","Central_Coast","40","Desert","5","NPS","7","Contra Costa",31.5800679263045
"1","Central_Coast","40","Desert","5","NPS","27","Monterey",382.296737783925
"1","Central_Coast","40","Desert","5","NPS","35","San Benito",1777.37959765511
"1","Central_Coast","40","Desert","5","NPS","38","San Francisco",16.679613341358
"1","Central_Coast","40","Desert","5","NPS","41","San Mateo",2512.83934858672
"1","Central_Coast","40","Desert","6","Other_fed","1","Alameda",29.5785143253415
"1","Central_Coast","40","Desert","6","Other_fed","7","Contra Costa",14.4556648958436
"1","Central_Coast","40","Desert","6","Other_fed","10","Fresno",10.6749525384691
"1","Central_Coast","40","Desert","6","Other_fed","15","Kern",80.9517234167241
"1","Central_Coast","40","Desert","6","Other_fed","16","Kings",0.22239484455144
"1","Central_Coast","40","Desert","6","Other_fed","24","Merced",1808.73727073686
"1","Central_Coast","40","Desert","6","Other_fed","27","Monterey",1009.45019941899
"1","Central_Coast","40","Desert","6","Other_fed","35","San Benito",24.6858277452098
"1","Central_Coast","40","Desert","6","Other_fed","40","San Luis Obispo",1617.03291473352
"1","Central_Coast","40","Desert","6","Other_fed","41","San Mateo",0.22239484455144
"1","Central_Coast","40","Desert","6","Other_fed","42","Santa Barbara",992.103401543974
"1","Central_Coast","40","Desert","6","Other_fed","43","Santa Clara",17.5691927195638
"1","Central_Coast","40","Desert","6","Other_fed","44","Santa Cruz",40.2534668638106
"1","Central_Coast","40","Desert","6","Other_fed","50","Stanislaus",0.66718453365432
"1","Central_Coast","40","Desert","7","Private","1","Alameda",14857.3099851035
"1","Central_Coast","40","Desert","7","Private","7","Contra Costa",5908.14144035355
"1","Central_Coast","40","Desert","7","Private","10","Fresno",51486.6304621039
"1","Central_Coast","40","Desert","7","Private","15","Kern",30953.3592543585
"1","Central_Coast","40","Desert","7","Private","16","Kings",40200.7592856519
"1","Central_Coast","40","Desert","7","Private","24","Merced",18424.5232917086
"1","Central_Coast","40","Desert","7","Private","27","Monterey",122670.994700973
"1","Central_Coast","40","Desert","7","Private","28","Napa",23.7962483670041
"1","Central_Coast","40","Desert","7","Private","35","San Benito",80517.8310750043
"1","Central_Coast","40","Desert","7","Private","38","San Francisco",3.78071235737448
"1","Central_Coast","40","Desert","7","Private","39","San Joaquin",4200.5938238876
"1","Central_Coast","40","Desert","7","Private","40","San Luis Obispo",159962.607025048
"1","Central_Coast","40","Desert","7","Private","41","San Mateo",7643.93320207754
"1","Central_Coast","40","Desert","7","Private","42","Santa Barbara",23757.106874363
"1","Central_Coast","40","Desert","7","Private","43","Santa Clara",26054.2232237348
"1","Central_Coast","40","Desert","7","Private","44","Santa Cruz",2415.65280151774
"1","Central_Coast","40","Desert","7","Private","48","Solano",250.416594964921
"1","Central_Coast","40","Desert","7","Private","50","Stanislaus",10572.4285151309
"1","Central_Coast","40","Desert","8","State_gov","1","Alameda",1022.12670555842
"1","Central_Coast","40","Desert","8","State_gov","7","Contra Costa",653.840842981234
"1","Central_Coast","40","Desert","8","State_gov","10","Fresno",354.274987370444
"1","Central_Coast","40","Desert","8","State_gov","15","Kern",26.4649865016214
"1","Central_Coast","40","Desert","8","State_gov","24","Merced",1207.82640075887
"1","Central_Coast","40","Desert","8","State_gov","27","Monterey",1099.74250630687
"1","Central_Coast","40","Desert","8","State_gov","28","Napa",0.22239484455144
"1","Central_Coast","40","Desert","8","State_gov","35","San Benito",1347.04557344807
"1","Central_Coast","40","Desert","8","State_gov","39","San Joaquin",251.306174343127
