"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ha"
"1","Central_Coast","40","Desert","8","State_gov","28","Napa",0.09
"1","Central_Coast","40","Desert","8","State_gov","35","San Benito",545.13
"1","Central_Coast","40","Desert","8","State_gov","39","San Joaquin",101.7
"1","Central_Coast","40","Desert","8","State_gov","40","San Luis Obispo",5223.24
"1","Central_Coast","40","Desert","8","State_gov","41","San Mateo",344.25
"1","Central_Coast","40","Desert","8","State_gov","42","Santa Barbara",4.59
"1","Central_Coast","40","Desert","8","State_gov","43","Santa Clara",2301.21
"1","Central_Coast","40","Desert","8","State_gov","44","Santa Cruz",112.41
"1","Central_Coast","40","Desert","8","State_gov","50","Stanislaus",446.85
"1","Central_Coast","40","Desert","9","USFS_nonwild","27","Monterey",633.78
"1","Central_Coast","40","Desert","9","USFS_nonwild","40","San Luis Obispo",2179.8
"1","Central_Coast","40","Desert","9","USFS_nonwild","42","Santa Barbara",525.78
"1","Central_Coast","40","Desert","9","USFS_nonwild","56","Ventura",31.32
"1","Central_Coast","50","Shrubland","1","BLM","7","Contra Costa",14.31
"1","Central_Coast","50","Shrubland","1","BLM","10","Fresno",13415.49
"1","Central_Coast","50","Shrubland","1","BLM","15","Kern",3887.19
"1","Central_Coast","50","Shrubland","1","BLM","16","Kings",92.97
"1","Central_Coast","50","Shrubland","1","BLM","24","Merced",580.23
"1","Central_Coast","50","Shrubland","1","BLM","27","Monterey",5454.9
"1","Central_Coast","50","Shrubland","1","BLM","35","San Benito",7616.34
"1","Central_Coast","50","Shrubland","1","BLM","40","San Luis Obispo",30724.56
"1","Central_Coast","50","Shrubland","1","BLM","41","San Mateo",1.98
"1","Central_Coast","50","Shrubland","1","BLM","42","Santa Barbara",1440.81
"1","Central_Coast","50","Shrubland","1","BLM","43","Santa Clara",119.16
"1","Central_Coast","50","Shrubland","1","BLM","50","Stanislaus",177.03
"1","Central_Coast","50","Shrubland","2","DoD","1","Alameda",52.83
"1","Central_Coast","50","Shrubland","2","DoD","7","Contra Costa",73.17
"1","Central_Coast","50","Shrubland","2","DoD","27","Monterey",12576.69
"1","Central_Coast","50","Shrubland","2","DoD","35","San Benito",1.71
"1","Central_Coast","50","Shrubland","2","DoD","39","San Joaquin",4.59
"1","Central_Coast","50","Shrubland","2","DoD","40","San Luis Obispo",1486.71
"1","Central_Coast","50","Shrubland","2","DoD","44","Santa Cruz",0.63
"1","Central_Coast","50","Shrubland","2","DoD","48","Solano",64.44
"1","Central_Coast","50","Shrubland","3","Easement","1","Alameda",49.86
"1","Central_Coast","50","Shrubland","3","Easement","7","Contra Costa",291.51
"1","Central_Coast","50","Shrubland","3","Easement","10","Fresno",542.52
"1","Central_Coast","50","Shrubland","3","Easement","24","Merced",1253.52
"1","Central_Coast","50","Shrubland","3","Easement","27","Monterey",3982.32
